filename,folder,index,source,status
stone_diamond_round_brilliant_white_thumb_v01.png,01_stones/diamonds,1,cropped from Gemini contact sheet,ready
stone_diamond_oval_white_thumb_v01.png,01_stones/diamonds,2,cropped from Gemini contact sheet,ready
stone_diamond_pear_white_thumb_v01.png,01_stones/diamonds,3,cropped from Gemini contact sheet,ready
stone_diamond_emerald_cut_white_thumb_v01.png,01_stones/diamonds,4,cropped from Gemini contact sheet,ready
stone_diamond_cushion_white_thumb_v01.png,01_stones/diamonds,5,cropped from Gemini contact sheet,ready
stone_diamond_melee_parcel_white_thumb_v01.png,01_stones/diamonds,6,cropped from Gemini contact sheet,ready
stone_sapphire_oval_royalblue_thumb_v01.png,01_stones/gemstones,7,cropped from Gemini contact sheet,ready
stone_emerald_emeraldcut_vividgreen_thumb_v01.png,01_stones/gemstones,8,cropped from Gemini contact sheet,ready
stone_ruby_oval_richred_thumb_v01.png,01_stones/gemstones,9,cropped from Gemini contact sheet,ready
stone_tanzanite_oval_violetblue_thumb_v01.png,01_stones/gemstones,10,cropped from Gemini contact sheet,ready
jewel_ring_solitaire_round_whitegold_preview_v01.png,02_jewelry_placeholders,11,cropped from Gemini contact sheet,ready
jewel_ring_halo_round_whitegold_preview_v01.png,02_jewelry_placeholders,12,cropped from Gemini contact sheet,ready
jewel_ring_three_stone_whitegold_preview_v01.png,02_jewelry_placeholders,13,cropped from Gemini contact sheet,ready
jewel_pendant_solitaire_whitegold_preview_v01.png,02_jewelry_placeholders,14,cropped from Gemini contact sheet,ready
jewel_earrings_stud_diamond_preview_v01.png,02_jewelry_placeholders,15,cropped from Gemini contact sheet,ready
material_18k_yellow_gold_polished_swatch_v01.png,03_materials/metal_swatches,16,cropped from Gemini contact sheet,ready
material_18k_white_gold_polished_swatch_v01.png,03_materials/metal_swatches,17,cropped from Gemini contact sheet,ready
material_rose_gold_polished_swatch_v01.png,03_materials/metal_swatches,18,cropped from Gemini contact sheet,ready
blueprint_ring_solitaire_top_side_light_v01.png,06_blueprints,19,cropped from Gemini contact sheet,ready
empty_studio_start_stones_to_jewelry_v01.png,05_empty_states,20,cropped from Gemini contact sheet,ready
